Drug Name,ATC 1st Level
The triamcinolone acetonide plus ropivacaine group,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Datroway,L - Antineoplastic and immunomodulating agents
magnesium cation,
aspirin / caffeine,N - Nervous system
aspirin / caffeine,D - Dermatologicals
aspirin / caffeine,A - Alimentary tract and metabolism
aspirin / caffeine,B - Blood and blood forming organs
nitric acid,
carbon dioxide / oxygen,V - Various
Dato-DXd,
magnesium carbonate,B - Blood and blood forming organs
magnesium carbonate,V - Various
magnesium carbonate,A - Alimentary tract and metabolism
magnesium carbonate,N - Nervous system
aspirin,B - Blood and blood forming organs
aspirin,C - Cardiovascular system
aspirin,R - Respiratory system
aspirin,A - Alimentary tract and metabolism
aspirin,N - Nervous system
aspirin,M - Musculo-skeletal system
"The specific drug comes from ""GINA (2024)""",
nitisinone,A - Alimentary tract and metabolism
carbon dioxide,V - Various
Darzalex Faspro,L - Antineoplastic and immunomodulating agents
Darzalex Faspro,B - Blood and blood forming organs
magnesium aspartate,A - Alimentary tract and metabolism
aspartic acid,
The simulant of Reduning Injection,
nitenpyram,
carbon black,
Darzalex,L - Antineoplastic and immunomodulating agents
magnesium ascorbyl phosphate,
aspartate,B - Blood and blood forming organs
The ropivacaine group,N - Nervous system
nitazoxanide,"P - Antiparasitic products, insecticides and repellents"
carbomer homopolymer type c,
Darunavir/Cobicistat (FDC),V - Various
Darunavir/Cobicistat (FDC),J - Antiinfectives for systemic use
magnesium acetate,B - Blood and blood forming organs
aspartame acesulfame,
The probiotic supplement (Moodamin capsuls),
nisoldipine,C - Cardiovascular system
carbomer,
Darqeen Capsule,
magnesium,
aspartame,
The original treatment regimen,
nirsevimab,J - Antiinfectives for systemic use
carbocysteine,R - Respiratory system
Darovasertib,
10-20 mg Aripiprazole oral solution film,N - Nervous system
magaldrate,A - Alimentary tract and metabolism
asparagus allergenic extract,V - Various
The experimental group received Nivolumab,L - Antineoplastic and immunomodulating agents
nirogacestat,L - Antineoplastic and immunomodulating agents
carbimazole,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Darolutamide (Nubeqa®),L - Antineoplastic and immunomodulating agents
10 GE Xenokidney,
mafenide acetate,D - Dermatologicals
asparagine,
The budesonide nasal spray,D - Dermatologicals
The budesonide nasal spray,A - Alimentary tract and metabolism
The budesonide nasal spray,R - Respiratory system
nirmatrelvir-ritonavir,
carbidopa 25 MG,N - Nervous system
Darolutamide (BAY,L - Antineoplastic and immunomodulating agents
1/2Ganyan1,
mafenide,D - Dermatologicals
asparaginase,L - Antineoplastic and immunomodulating agents
The budesonide nasal irrigation,
nirmatrelvir 150 MG,J - Antiinfectives for systemic use
carbidopa 10 MG,N - Nervous system
The treatment regimen is Furmonertinib combined with Bevacizumab.,L - Antineoplastic and immunomodulating agents
The treatment regimen is Furmonertinib combined with Bevacizumab.,S - Sensory organs
Darbeopoetin,B - Blood and blood forming organs
1.5g Naltrexone Implant,
madecassic acid,
asiaticoside,
nirmatrelvir,J - Antiinfectives for systemic use
carbidopa / levodopa,N - Nervous system
The best medical treatment,
Daratumumab,L - Antineoplastic and immunomodulating agents
1.5% QLM3003 ointment,
macitentan 10 MG,C - Cardiovascular system
asiatic acid,
niraparib 300 MG,L - Antineoplastic and immunomodulating agents
carbidopa,N - Nervous system
The Magic Bullet,A - Alimentary tract and metabolism
Daraprim,"P - Antiparasitic products, insecticides and repellents"
1.33% liposomal bupivacaine with,N - Nervous system
macitentan / tadalafil,G - Genito urinary system and sex hormones
macitentan / tadalafil,C - Cardiovascular system
asfotase alfa,A - Alimentary tract and metabolism
niraparib 200 MG,L - Antineoplastic and immunomodulating agents
carbetapentane citrate,R - Respiratory system
The Group A received PCSK9 inhibitor plus statin therapy,
Dapivirine containing vaginal ring,
1.33% liposomal bupivacaine only,N - Nervous system
macitentan,C - Cardiovascular system
asenapine,N - Nervous system
niraparib,L - Antineoplastic and immunomodulating agents
carbetapentane,R - Respiratory system
The Botulinum toxin injection,
"Dapagliflozine hemihydrate (Janssen, USA)",
1.2%,
macimorelin,V - Various
ascorbyl tetraisopalmitate,
nipocalimab-aahu,
carbazochrome,B - Blood and blood forming organs
Tezspire,R - Respiratory system
Dapagliflozin/Sitagliptin,
1-propanol,D - Dermatologicals
macadamia oil,
ascorbyl glucoside,
nipocalimab,
carbamide peroxide,
Tetravalent Dengue Vaccine (TDV),
Dapagliflozin/Pioglitazone,A - Alimentary tract and metabolism
1-octanol,
mRNA-4203,
ascorbic acid 500 MG/ML,S - Sensory organs
ascorbic acid 500 MG/ML,G - Genito urinary system and sex hormones
ascorbic acid 500 MG/ML,A - Alimentary tract and metabolism
nintedanib 150 MG,L - Antineoplastic and immunomodulating agents
carbamazepine Oral Suspension,N - Nervous system
Tetracycline,S - Sensory organs
Tetracycline,D - Dermatologicals
Tetracycline,"P - Antiparasitic products, insecticides and repellents"
Tetracycline,J - Antiinfectives for systemic use
Tetracycline,A - Alimentary tract and metabolism
Dapagliflozin or Empagliflozin,A - Alimentary tract and metabolism
mRNA-1283 Variant-containing Formulation,J - Antiinfectives for systemic use
ascorbic acid 500 MG,S - Sensory organs
ascorbic acid 500 MG,G - Genito urinary system and sex hormones
ascorbic acid 500 MG,B - Blood and blood forming organs
ascorbic acid 500 MG,A - Alimentary tract and metabolism
nintedanib,L - Antineoplastic and immunomodulating agents
carbamazepine 400 MG,N - Nervous system
"Tetanus, Reduced Diphtheria and Acellular Pertussis (Five Components) Combined Vaccine, Adsorbed (Tdcp))",
Dapagliflozin Treatment Group,A - Alimentary tract and metabolism
mRNA-1273 Variant-containing Formulation,
ascorbic acid 50 MG,S - Sensory organs
ascorbic acid 50 MG,G - Genito urinary system and sex hormones
ascorbic acid 50 MG,B - Blood and blood forming organs
ascorbic acid 50 MG,A - Alimentary tract and metabolism
nimodipine,C - Cardiovascular system
carbamazepine 200 MG,N - Nervous system
Tetanus booster,
Dapagliflozin (Forxiga),A - Alimentary tract and metabolism
mRNA-1195,
ascorbic acid 200 MG,S - Sensory organs
ascorbic acid 200 MG,G - Genito urinary system and sex hormones
ascorbic acid 200 MG,A - Alimentary tract and metabolism
nilutamide,L - Antineoplastic and immunomodulating agents
carbamazepine 100 MG,N - Nervous system
Dapagliflozin (DAPA),A - Alimentary tract and metabolism
mRNA-1083 Composition,
ascorbic acid 100 MG,S - Sensory organs
ascorbic acid 100 MG,G - Genito urinary system and sex hormones
ascorbic acid 100 MG,B - Blood and blood forming organs
ascorbic acid 100 MG,A - Alimentary tract and metabolism
nilotinib,L - Antineoplastic and immunomodulating agents
carbamazepine,N - Nervous system
Dapagliflozin,A - Alimentary tract and metabolism
mRNA-1083,
ascorbic acid,S - Sensory organs
ascorbic acid,B - Blood and blood forming organs
ascorbic acid,G - Genito urinary system and sex hormones
ascorbic acid,A - Alimentary tract and metabolism
ascorbic acid,M - Musculo-skeletal system
nifurtimox,"P - Antiparasitic products, insecticides and repellents"
carbachol,S - Sensory organs
carbachol,N - Nervous system
Danziten,L - Antineoplastic and immunomodulating agents
mRNA Tumor Vaccine Therapy,
asciminib hydrochloride,L - Antineoplastic and immunomodulating agents
1-methyl-2-pyrrolidinone,
nifedipine 20 MG,C - Cardiovascular system
captopril,C - Cardiovascular system
Danuglipron,
mRNA Neoantigen Vaccine,
asciminib 40 MG,L - Antineoplastic and immunomodulating agents
1-butene,
nifedipine,C - Cardiovascular system
capsaicin Topical Gel,M - Musculo-skeletal system
capsaicin Topical Gel,N - Nervous system
Danning Tablet,
mKRASvax,
asciminib 20 MG,L - Antineoplastic and immunomodulating agents
"1,5-pentanediol",
nicotine Chewing Gum,N - Nervous system
capsaicin / lidocaine,S - Sensory organs
capsaicin / lidocaine,D - Dermatologicals
capsaicin / lidocaine,R - Respiratory system
capsaicin / lidocaine,C - Cardiovascular system
capsaicin / lidocaine,N - Nervous system
capsaicin / lidocaine,M - Musculo-skeletal system
Dalpiciclib + Pyrotinib,
mFolfox6,
asciminib,L - Antineoplastic and immunomodulating agents
"1,3-propanediol",
nicotine 4 MG,N - Nervous system
capsaicin,M - Musculo-skeletal system
capsaicin,N - Nervous system
Daily low-dose PDE5 inhibitor therapy,
mFOLFOXIRI,
artificial tear substitute,
"1,2-distearoyllecithin",
nicotine 2 MG,N - Nervous system
caprylhydroxamic acid,
Daily aspirin (ASA),B - Blood and blood forming organs
Daily aspirin (ASA),C - Cardiovascular system
Daily aspirin (ASA),R - Respiratory system
Daily aspirin (ASA),A - Alimentary tract and metabolism
Daily aspirin (ASA),N - Nervous system
Daily aspirin (ASA),M - Musculo-skeletal system
mFOLFOX6 regimen,B - Blood and blood forming organs
mFOLFOX6 regimen,A - Alimentary tract and metabolism
mFOLFOX6 regimen,N - Nervous system
mFOLFOX6 regimen,C - Cardiovascular system
artificial tear eyedrops,
"1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol 2000",
nicotine,N - Nervous system
caprolactone,
Daily DPP-4 inhibitor,
mFOLFOX6,
articaine,N - Nervous system
"1,2-benzisothiazoline-3-one",
nicotinamide adenine dinucleotide (NAD),
capreomycin,J - Antiinfectives for systemic use
Dachaihu Decoction combined Erzhiwan with variation,
mFOLFOX-6,
artesunate-amodiaquine (AS-AQ),
"1,1-difluoroethane",
nicotinamide adenine dinucleotid/nicotinamide mononucleotide,
capmatinib,L - Antineoplastic and immunomodulating agents
"Dabrafenib, trametinib, nivolumab",L - Antineoplastic and immunomodulating agents
mFOLFORINOX,
artesunate Injection,"P - Antiparasitic products, insecticides and repellents"
1% Oral Minoxidil,D - Dermatologicals
1% Oral Minoxidil,C - Cardiovascular system
nicorandil,C - Cardiovascular system
caplacizumab,B - Blood and blood forming organs
Dabrafenib + Trametinib,L - Antineoplastic and immunomodulating agents
mFOLFIRINOX adjuvant chemotherapy,
artesunate,"P - Antiparasitic products, insecticides and repellents"
nicardipine hydrochloride,C - Cardiovascular system
capivasertib,L - Antineoplastic and immunomodulating agents
DZP,
mFOLFIRINOX,
artemether / lumefantrine,"P - Antiparasitic products, insecticides and repellents"
nicardipine Injection,C - Cardiovascular system
capecitabine 500 MG,L - Antineoplastic and immunomodulating agents
DZD8586+R-GemOx,
lysozyme,D - Dermatologicals
lysozyme,J - Antiinfectives for systemic use
artemether,"P - Antiparasitic products, insecticides and repellents"
nicardipine,C - Cardiovascular system
capecitabine,L - Antineoplastic and immunomodulating agents
DZD8586+R-CHOP,
lysine / proline,B - Blood and blood forming organs
arsenic trioxide,L - Antineoplastic and immunomodulating agents
niacinamide,B - Blood and blood forming organs
niacinamide,D - Dermatologicals
niacinamide,A - Alimentary tract and metabolism
cantharidin,
DZD8586+BR,
lysine,B - Blood and blood forming organs
armodafinil,N - Nervous system
niacin sustained release capsules,
cantaloupe allergenic extract,V - Various
DZD6008,
1% ASKC200,
lycopene,
aripiprazole lauroxil,
niacin 100 MG,C - Cardiovascular system
canola oil,
DXC008,
0.9g Naltrexone Implant +,
lvonescimab,
aripiprazole Oral Solution,N - Nervous system
niacin / riboflavin / thiamine,S - Sensory organs
niacin / riboflavin / thiamine,A - Alimentary tract and metabolism
niacin / riboflavin / thiamine,C - Cardiovascular system
cannabidiol,N - Nervous system
"DWC202405, DWC202314P",
0.9%NaCl,
luteinizing hormone,
aripiprazole 5 MG,N - Nervous system
niacin,B - Blood and blood forming organs
niacin,A - Alimentary tract and metabolism
niacin,C - Cardiovascular system
cangrelor,B - Blood and blood forming organs
"DWC202405, DWC202314",
0.9 % NaCl,
lutein 40 MG,
aripiprazole 400 MG,N - Nervous system
nexiguran ziclumeran,
candesartan,C - Cardiovascular system
DWC202405,
0.76% Sodium Monofluorophosphate Dentifrice,A - Alimentary tract and metabolism
lutein 2 MG,A - Alimentary tract and metabolism
aripiprazole 20 MG,N - Nervous system
new formulations of,
candelilla wax,
"DWC202404, DWC202314P",
0.5% standard bupivacaine only,
lutein 10 MG,
aripiprazole 10 MG,N - Nervous system
pomalidomide 4 MG,L - Antineoplastic and immunomodulating agents
deoxycholic acid,D - Dermatologicals
TCM Syndrome Differentiation Decoction,A - Alimentary tract and metabolism
Investigational Influenza Vaccine,
selegiline Transdermal System,N - Nervous system
ethylene brassylate,
HBS-201,
FLOT,
pomalidomide,L - Antineoplastic and immunomodulating agents
deoxycholate Injection,D - Dermatologicals
TCA108,
Investigational COVID-19 Vaccine Lot B,
selegiline,N - Nervous system
ethyl-p-hydroxybenzoate,
HBI0101 CART,
FLCWK,
polyvinyl alcohol,S - Sensory organs
deoxycholate,D - Dermatologicals
TBO-309,L - Antineoplastic and immunomodulating agents
Investigational COVID-19 Vaccine Lot A,
seladelpar 10 MG,A - Alimentary tract and metabolism
ethyl valerate,
HBI-002,J - Antiinfectives for systemic use
FLAMOD,
polyvinyl acetate,
denosumab-bbdz,M - Musculo-skeletal system
TBICy,
Investigational COVID-19 Vaccine,
seladelpar,A - Alimentary tract and metabolism
ethyl sebacate,
HB0043,
FK-PC101,
polytetrafluoroethylene,
denosumab combined anti-PD-1 inhibitor with chemotherapy,
TB006,
Investigational CAR-T,
segesterone acetate,G - Genito urinary system and sex hormones
ethyl pyruvate,
HB0017,
FGFR4-CAR T Cells,L - Antineoplastic and immunomodulating agents
polysorbate 85,
denosumab Injection,M - Musculo-skeletal system
TB/Flu-05E,
Inula racemosa root extract,
segesterone,G - Genito urinary system and sex hormones
ethyl oleate,
HB-2121,
FFP,
polysorbate 80,S - Sensory organs
denosumab,M - Musculo-skeletal system
TAVO412,
Intron A,L - Antineoplastic and immunomodulating agents
secukinumab Injection,L - Antineoplastic and immunomodulating agents
ethyl maltol,
HALOPERIDOL DECANOATE,N - Nervous system
FERULIC ACID,
polysorbate 40,
denileukin diftitox-cxdl,L - Antineoplastic and immunomodulating agents
TAS6417,
Intravitreal injection of aflibercept,L - Antineoplastic and immunomodulating agents
Intravitreal injection of aflibercept,S - Sensory organs
secukinumab,L - Antineoplastic and immunomodulating agents
ethyl linoleate,
HAIC of FOLFOX,
FERRIC OXYHYDROXIDE,
polysorbate 20,
denileukin diftitox,L - Antineoplastic and immunomodulating agents
TARPEYO®,D - Dermatologicals
TARPEYO®,A - Alimentary tract and metabolism
TARPEYO®,R - Respiratory system
Intravitreal injection of Faricimab or Aflibercept,S - Sensory organs
secondary treatment of postoperative nausea and vomiting (PONV),
ethyl levulinate,
HAIC (GEMOX),D - Dermatologicals
FD-001,
polysaccharide iron complex,B - Blood and blood forming organs
polysaccharide iron complex,A - Alimentary tract and metabolism
denifanstat,
TAK-242,
Intravitreal Injection of Ultevursen,
second-line group,
ethyl lactate,
HA injection group,
FD&C yellow no. 6,
polymyxin B sulfate,S - Sensory organs
polymyxin B sulfate,J - Antiinfectives for systemic use
polymyxin B sulfate,A - Alimentary tract and metabolism
